time,voltage,
115.0000021E-3,4.36000013,
115.0399968E-3,4.36000013,
115.0799990E-3,4.36000013,
115.1200011E-3,4.33999968,
115.1599959E-3,4.33999968,
115.1999980E-3,4.33999968,
115.2400002E-3,4.36000013,
115.2799949E-3,4.36000013,
115.3199971E-3,4.33999968,
115.3599992E-3,4.33999968,
115.4000014E-3,4.36000013,
115.4399961E-3,4.36000013,
115.4799983E-3,4.36000013,
115.5200005E-3,4.36000013,
115.5599952E-3,4.36000013,
115.5999973E-3,4.36000013,
115.6399995E-3,4.38000011,
115.6800017E-3,4.33999968,
115.7199964E-3,4.36000013,
115.7599986E-3,4.36000013,
115.8000007E-3,4.36000013,
115.8399954E-3,4.36000013,
115.8799976E-3,4.38000011,
115.9199998E-3,4.33999968,
115.9600019E-3,4.40000010,
115.9999967E-3,4.36000013,
116.0399988E-3,4.36000013,
116.0800010E-3,4.36000013,
116.1199957E-3,4.36000013,
116.1599979E-3,4.36000013,
116.2000000E-3,4.36000013,
116.2399948E-3,4.40000010,
116.2799969E-3,4.36000013,
116.3199991E-3,4.36000013,
116.3600013E-3,4.38000011,
116.3999960E-3,4.38000011,
116.4399981E-3,4.38000011,
116.4800003E-3,4.36000013,
116.5199950E-3,4.36000013,
116.5599972E-3,4.36000013,
116.5999994E-3,4.38000011,
116.6400015E-3,4.38000011,
116.6799963E-3,4.36000013,
116.7199984E-3,4.36000013,
116.7600006E-3,4.36000013,
116.7999953E-3,4.36000013,
116.8399975E-3,4.38000011,
116.8799996E-3,4.36000013,
116.9200018E-3,4.36000013,
116.9599965E-3,4.33999968,
116.9999987E-3,4.36000013,
117.0400009E-3,4.33999968,
117.0799956E-3,4.33999968,
117.1199977E-3,4.36000013,
117.1599999E-3,4.33999968,
117.2000021E-3,4.36000013,
117.2399968E-3,4.33999968,
117.2799990E-3,4.36000013,
117.3200011E-3,4.33999968,
117.3599958E-3,4.33999968,
117.3999980E-3,4.33999968,
117.4400002E-3,4.33999968,
117.4799949E-3,4.33999968,
117.5199971E-3,4.33999968,
117.5599992E-3,4.33999968,
117.6000014E-3,4.33999968,
117.6399961E-3,4.33999968,
117.6799983E-3,4.33999968,
117.7200004E-3,4.33999968,
117.7599952E-3,4.33999968,
117.7999973E-3,4.33999968,
117.8399995E-3,4.33999968,
117.8800017E-3,4.36000013,
117.9199964E-3,4.33999968,
117.9599985E-3,4.33999968,
118.0000007E-3,4.31999969,
118.0399954E-3,4.33999968,
118.0799976E-3,4.33999968,
118.1199998E-3,4.29999971,
118.1600019E-3,4.31999969,
118.1999967E-3,4.31999969,
118.2399988E-3,4.31999969,
118.2800010E-3,4.33999968,
118.3199957E-3,4.31999969,
118.3599979E-3,4.31999969,
118.4000000E-3,4.31999969,
118.4399948E-3,4.31999969,
118.4799969E-3,4.31999969,
118.5199991E-3,4.29999971,
118.5600013E-3,4.31999969,
118.5999960E-3,4.31999969,
118.6399981E-3,4.33999968,
118.6800003E-3,4.31999969,
118.7199950E-3,4.31999969,
118.7599972E-3,4.29999971,
118.7999994E-3,4.29999971,
118.8400015E-3,4.29999971,
118.8799962E-3,4.27999973,
118.9199984E-3,4.29999971,
118.9600006E-3,4.31999969,
118.9999953E-3,4.29999971,
119.0399975E-3,4.27999973,
119.0799996E-3,4.27999973,
119.1200018E-3,4.27999973,
119.1599965E-3,4.29999971,
119.1999987E-3,4.29999971,
119.2400008E-3,4.29999971,
119.2799956E-3,4.27999973,
119.3199977E-3,4.25999975,
119.3599999E-3,4.27999973,
119.3999946E-3,4.29999971,
119.4399968E-3,4.25999975,
119.4799989E-3,4.27999973,
119.5200011E-3,4.27999973,
119.5599958E-3,4.27999973,
119.5999980E-3,4.27999973,
119.6400002E-3,4.27999973,
119.6799949E-3,4.27999973,
119.7199970E-3,4.25999975,
119.7599992E-3,4.25999975,
119.8000014E-3,4.25999975,
119.8399961E-3,4.25999975,
119.8799983E-3,4.25999975,
119.9200004E-3,4.25999975,
119.9599952E-3,4.27999973,
119.9999973E-3,4.23999977,
120.0399995E-3,4.25999975,
120.0800017E-3,4.27999973,
120.1199964E-3,4.25999975,
120.1599985E-3,4.25999975,
120.2000007E-3,4.25999975,
120.2399954E-3,4.27999973,
120.2799976E-3,4.25999975,
120.3199998E-3,4.23999977,
120.3600019E-3,4.25999975,
120.3999966E-3,4.25999975,
120.4399988E-3,4.23999977,
120.4800010E-3,4.23999977,
120.5199957E-3,4.25999975,
120.5599979E-3,4.23999977,
120.6000000E-3,4.23999977,
120.6399947E-3,4.25999975,
120.6799969E-3,4.23999977,
120.7199991E-3,4.23999977,
120.7600012E-3,4.25999975,
120.7999960E-3,4.25999975,
120.8399981E-3,4.23999977,
120.8800003E-3,4.21999979,
120.9199950E-3,4.23999977,
120.9599972E-3,4.25999975,
120.9999993E-3,4.25999975,
121.0400015E-3,4.25999975,
121.0799962E-3,4.23999977,
121.1199984E-3,4.25999975,
